train_loss,val_loss,train_dice,val_dice,train_jaccard,val_jaccard
0.08014566985431357,0.021486817595848036,0.9887050116968773,0.9918438875235663,0.9785984810800328,0.9840431736157229
0.017286899131499753,0.015956693626836292,0.9935520550239186,0.9939938286858949,0.9873511249480725,0.9882053110599804
0.014818514300335997,0.013559898556107538,0.9944118331007452,0.9948725452782362,0.9890141196480756,0.9899072632993222
0.013372612881014514,0.012770146404433871,0.994950367746835,0.9951653082096596,0.9900552561512929,0.9904692847353179
0.012247519427141286,0.012045515383330506,0.9953661474411828,0.9954464624883347,0.990859866285604,0.9910153243919028
0.01126132702639786,0.01128464562052169,0.9957232657231098,0.9956604340232833,0.9915529471751756,0.9914276705368795
0.010353497873192187,0.009653816384280315,0.9960494777819646,0.9963175716941007,0.9921851092974928,0.9927068434705283
0.009440426144461526,0.008993103795775316,0.9963967960243075,0.9965890649110746,0.9928614404129072,0.9932366730187657
0.008752986665586313,0.008939109649700417,0.9966548493208502,0.9966015453662123,0.9933664411901193,0.9932617833436548
0.00817748161012635,0.008079749773840485,0.996867020363138,0.9969128727818922,0.9937829859519617,0.993872684536228
